proteinA_entrezid,proteinB_entrezid,databases
2908,9404,APID|biogrid
4133,10664,encode
27185,129285,intact
2932,4134,instruct|APID|biogrid|mint|intact|pina
8507,27185,intact
1281,27185,intact
27185,64147,hiunion
3569,5430,innatedb
2289,26973,HINT-binary
2908,8359,encode
2932,4137,PhosphoSP|innatedb|HIPPIE|KinomeNetX|HINT-binary|inweb|HINT-complex
27185,114793,intact
1813,23671,mint|intact
1813,9725,mint|intact
27185,51637,instruct|APID|biogrid|HIPPIE|intact|pina
6801,27185,intact
375,3356,HINT-complex
2908,23136,pina|APID|intact
408,27185,intact
1051,2932,PhosphoSP|inweb|KinomeNetX
2908,23764,pina|APID|biogrid|instruct
2908,64781,qubic
26146,27185,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|pina
22809,27185,APID|biogrid|intact|litbm17|pina
4192,4684,inweb
1462,27185,intact
2908,7704,HIPPIE
3394,3553,HINT-binary|innatedb
2908,10048,APID|biogrid|litbm17|inweb|pina
4524,51341,encode
3458,5970,innatedb|signalink
1813,4482,bioplex
1312,127534,intact|hiunion
2861,3358,mint|intact
2908,254439,encode
3358,4509,bioplex
2908,8106,encode
27185,64062,intact
10592,27185,instruct|APID|biogrid|HIPPIE|intact|pina
4747,29922,instruct|hiunion|APID|biogrid|HINT-binary|intact
2670,221294,bioplex|HIPPIE
2932,7422,innatedb
4747,7316,inweb
4915,6464,HIPPIE
775,7316,inweb
641,2932,PhosphoSP
2908,5451,inweb|HIPPIE|HINT-complex
2289,54583,HINT-binary
2908,8331,encode
4281,27185,intact
3458,3837,signalink
2932,5648,instruct|APID|biogrid|mint|intact|pina
3458,64332,innatedb
2670,3860,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact
3356,4904,signalink
2908,85026,encode
2908,252983,encode
2289,5836,HINT-binary
4133,6714,inweb
4684,23435,bioplex
1901,3350,inweb
6285,84830,instruct|hiunion|APID|biogrid|intact|mint|pina
7124,200232,intact|hiunion
2670,4747,APID|intact|biogrid|hiunion
4684,29785,bioplex
2908,7251,instruct|APID|biogrid|HIPPIE|HINT-binary|litbm17|inweb|pina
1312,22803,instruct|APID|biogrid|HIPPIE|intact|pina
2932,5578,PhosphoSP|inweb|KinomeNetX
8678,27185,intact
3921,27185,intact
27185,64170,hiunion
6285,8826,innatedb|inweb
6532,11186,qubic
1312,23432,intact|hiunion
4137,6285,inweb|HIPPIE|HINT-complex
27185,55915,intact
824,2908,encode
1813,54102,APID|biogrid
1501,27185,intact
2624,4524,encode
2064,4915,biogrid
2932,55269,KinomeNetX
369,2289,HINT-binary|HIPPIE|HINT-complex
2908,163033,encode
4524,7392,encode
1312,57414,hiunion
775,9478,instruct|APID|HIPPIE|HINT-binary|inweb|HINT-complex
4747,55170,instruct|APID|biogrid|mint|intact|pina
27185,440730,intact
11059,27185,intact
2268,2932,KinomeNetX
2932,155061,instruct|APID|biogrid|mint|intact|pina
2,7124,innatedb
2932,5610,KinomeNetX
27185,79586,intact
4747,51588,instruct|APID|biogrid|HIPPIE|intact
2670,9852,intact|hiunion
2932,54880,qubic
8888,27185,intact
2908,11243,encode
2932,4607,PhosphoSP
2932,29102,PhosphoSP|KinomeNetX
1312,9712,qubic
1813,10681,APID|biogrid|inweb
2908,8365,encode
10623,27185,hiunion
3725,7124,innatedb
2109,2908,encode
2289,5352,instruct
8864,9575,APID|biogrid|inweb
7248,27185,intact
1742,3358,inweb
2908,8195,encode
27185,55527,intact
23020,27185,intact
6285,170591,intact|hiunion
2932,5747,inweb|signalink|HIPPIE
4915,5910,signalink
2932,6663,inweb
2908,11143,encode
10395,27185,intact
3458,6778,inweb
3458,3460,innatedb|signalink|inweb
2908,3836,signalink
1312,374882,intact|hiunion
2908,84612,encode
5048,27185,instruct|APID|biogrid|HIPPIE|intact|pina
7124,170261,intact|hiunion
4684,5579,inweb
2113,3458,signalink
3458,5910,signalink
1019,2289,HINT-binary|bioplex|HIPPIE|HINT-complex
2289,5896,APID|intact|instruct
4747,170954,instruct|APID|biogrid|HINT-binary|intact
2908,9252,inweb
9736,27185,intact
2908,79813,encode
2908,85479,encode
2908,388551,encode
4792,7124,inweb
2670,24144,intact|hiunion
6285,10962,bioplex
2289,11146,HINT-binary
1441,2932,inweb
9742,27185,intact
2670,9063,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact
2908,5799,pina|APID|intact
1813,10099,mint|intact
4628,27185,intact
2932,51008,KinomeNetX
10487,27185,intact
3553,79637,signalink
2932,9019,qubic
2908,7329,HINT-binary|inweb|HIPPIE|instruct
10486,27185,intact
27185,84306,intact
27185,63917,intact
6285,84708,intact|hiunion
2625,3458,innatedb|signalink
3458,23633,signalink
2932,3009,PhosphoSP|KinomeNetX
2932,3190,KinomeNetX
27185,83637,intact
5578,6532,PhosphoSP
5707,27185,intact
3358,10430,intact|bioplex|hiunion
2801,4747,APID|intact|biogrid|hiunion
2908,84904,encode
2932,4087,innatedb
526,27185,intact
3553,64777,pina
2289,85481,bioplex|HIPPIE
2908,5795,encode
547,27185,intact
4747,7248,innatedb|APID|biogrid|HIPPIE|litbm17|inweb|pina
2932,23122,PhosphoSP|HIPPIE|KinomeNetX
4684,7345,APID|mint|intact|litbm17|inweb
2932,8658,PhosphoSP|KinomeNetX
3458,219681,signalink
4524,219938,bioplex
1312,388588,hiunion
801,2915,HIPPIE
4915,4915,APID|intact|HIPPIE|PhosphoSP
4128,4129,intact|bioplex|HIPPIE
2908,29928,encode
4524,4524,interactome3d|instruct
2289,10910,HINT-binary
3358,79053,bioplex
2908,64061,pina|APID|intact
3569,6908,innatedb
6924,27185,intact
988,27185,instruct|APID|biogrid|HIPPIE|intact|pina
5528,9575,APID|biogrid
7422,29914,pina|APID|biogrid|inweb
2908,64344,encode
6532,6623,inweb
3934,7422,hiunion
27185,57553,intact
2908,8358,encode
27185,29922,hiunion
7124,8712,hiunion
627,192669,instruct|APID|biogrid|HINT-binary|intact
7124,10462,intact|hiunion
2623,4524,encode
1809,2932,PhosphoSP|KinomeNetX
2670,10059,APID|intact
2932,5501,inweb|HIPPIE
3553,4067,inweb
2932,3836,signalink
27185,400322,biogrid
3358,222553,bioplex
2670,9124,instruct|hiunion|APID|biogrid|HINT-binary|intact|pina
27185,51764,hiunion
2932,51667,inweb
27185,170082,hiunion
4747,374355,APID|intact|biogrid|hiunion
27185,90410,instruct|hiunion|APID|biogrid|intact|pina
59,27185,intact
2908,60370,encode
2932,8945,inweb|HIPPIE|HINT-complex
3553,6667,APID|biogrid|inweb
1312,27068,qubic
1386,3458,innatedb|signalink
2908,55683,encode
3458,9576,signalink
4684,55172,bioplex|HIPPIE
3178,3569,innatedb
2932,10848,KinomeNetX
2908,5721,encode
2908,5713,inweb
2932,51380,instruct|APID|biogrid|mint|intact|pina
2670,115265,intact
8667,27185,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|pina
2932,9575,PhosphoSP|KinomeNetX
1813,6508,mint|intact
3458,10664,innatedb
2289,3611,HINT-binary
2670,79027,intact|hiunion
2668,10296,bioplex|HIPPIE
3458,79637,signalink
23173,27185,intact
2908,3567,innatedb
775,6717,inweb
4684,6382,bioplex
2908,79682,encode
1312,8061,encode
4953,27185,intact
3358,253782,bioplex
3490,7422,inweb
2932,7694,instruct|APID|biogrid|mint|intact|pina
4524,9324,encode
2908,221504,pina|APID|biogrid|instruct
27185,57510,intact
775,808,interactome3d|instruct|APID|HINT-binary|litbm17|HINT-complex
9055,27185,intact
27185,170506,intact
3801,4747,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary
7124,94097,bioplex|HIPPIE
2908,57210,encode
4849,27185,intact
26278,27185,intact
4524,4778,encode
2908,51292,encode
2908,6249,pina|APID|intact
3107,27185,intact
2908,26807,encode
7124,8517,HINT-binary|inweb|HIPPIE|HINT-complex
11275,27185,intact
2908,7157,inweb|HIPPIE|HINT-complex
3326,4915,pina|APID|intact|instruct
9329,27185,intact
1312,11112,intact|hiunion
27185,80212,hiunion
3358,10159,mint|intact
4524,6720,encode
2932,23205,instruct|APID|biogrid|mint|intact|pina
3358,64786,bioplex
10101,27185,intact
322,2932,PhosphoSP
2932,8554,PhosphoSP|inweb
8237,27185,intact
2932,22881,signalink|inweb
3358,51194,bioplex
6712,27185,intact
4128,9532,instruct
2908,84667,encode
250,3553,innatedb
27185,65265,hiunion
887,1813,mint|intact
7422,8535,inweb
9373,27185,intact
2932,8312,interactome3d|instruct|qubic|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb|HINT-complex
2670,9100,bioplex
22891,27185,instruct|APID|biogrid|HIPPIE|intact|pina
3738,4915,PhosphoSP|KinomeNetX
1499,7422,innatedb
3569,3570,interactome3d|instruct|innatedb|APID|signalink|HIPPIE|HINT-binary|intact|litbm17|inweb|HINT-complex
2668,2674,APID|HIPPIE|HINT-complex|inweb
7124,203260,intact|hiunion
2915,9456,inweb
2908,3841,signalink
4747,9135,bioplex
4976,27185,intact
23710,27185,hiunion
1312,8269,intact|hiunion
2908,3065,instruct|innatedb|APID|biogrid|HIPPIE|HINT-binary|inweb|HINT-complex
10728,27185,intact
2976,27185,intact
3553,25852,signalink
5080,27185,intact
3553,3554,interactome3d|instruct|innatedb|APID|signalink|HIPPIE|HINT-binary|intact|litbm17|inweb|pina
3615,27185,intact
27185,80851,intact
9240,27185,intact
2908,100131378,encode
27185,30833,intact
2908,6777,inweb
2932,4214,inweb
2908,124056,encode
4915,10755,HINT-binary|inweb|instruct
3726,4133,APID|intact|litbm17
2932,23633,signalink
2289,10049,HINT-binary
27185,158787,bioplex
4747,107987457,hiunion
4775,7124,innatedb
1315,27185,intact
2932,8893,HIPPIE
2670,143884,intact|hiunion
1501,3458,signalink
2670,55093,intact|hiunion
2908,6217,encode
3708,27185,intact
6709,27185,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|pina
7415,27185,intact
7124,7133,interactome3d|instruct|innatedb|APID|HIPPIE|HINT-binary|intact|mint|litbm17|inweb|HINT-complex
2908,7341,inweb|HIPPIE|HINT-complex
2908,79170,encode
6285,57085,APID|biogrid|hiunion
2908,4501,encode
7422,55737,instruct|APID|biogrid|HINT-binary|intact
3358,3358,intact
2668,3993,qubic
3358,55585,bioplex
2932,57731,instruct|APID|biogrid|mint|intact|pina
2670,391257,intact
23637,27185,APID|biogrid|HIPPIE|intact|pina
2908,55450,innatedb
5066,27185,intact
23381,27185,intact
2908,4792,encode
2932,6622,PhosphoSP|inweb
2932,84699,inweb
3553,5318,signalink
2908,100462977,encode
2289,197335,bioplex
27185,55329,hiunion
2908,57655,encode
2908,11213,encode
2908,5914,encode|APID
4747,91039,bioplex
27185,64145,pina|APID|intact|biogrid
2908,4500,encode
1026,2932,PhosphoSP|KinomeNetX
1282,27185,pina|APID|biogrid
2932,7846,instruct|APID|biogrid|mint|intact|pina
3358,57380,bioplex
2908,6714,inweb|HIPPIE
3569,5970,HINT-binary|innatedb
6567,7422,hiunion
2932,4088,inweb|signalink|HIPPIE|HINT-complex
2932,25939,bioplex
22894,27185,intact
3837,27185,intact
329,7124,innatedb|HIPPIE|HINT-binary|inweb|HINT-complex
2670,7525,intact|hiunion
5802,7124,bioplex|HIPPIE
2932,9463,PhosphoSP
2932,9627,PhosphoSP|inweb|KinomeNetX
320,3358,inweb
22920,27185,instruct|APID|biogrid|HIPPIE|intact|pina
2908,55017,encode
2908,92675,APID|biogrid
2066,4915,biogrid
23089,27185,intact
27185,147694,intact
5971,7124,innatedb
2932,5576,pina|inweb
9901,27185,instruct|APID|biogrid|intact|pina
1774,2670,bioplex|HIPPIE
833,7124,pina|APID|intact
27185,338707,intact
9575,150483,bioplex|HIPPIE
2289,6493,APID|intact|instruct
2908,6878,innatedb
2908,5441,encode
2932,79365,APID|biogrid
2908,84981,encode
2932,4059,PhosphoSP|KinomeNetX
1312,23585,intact|hiunion
7422,51341,encode
2908,26793,encode
4524,11186,bioplex|HIPPIE
2908,5449,inweb
3458,3620,innatedb
1639,27185,instruct|APID|biogrid|HIPPIE|intact|pina
4133,57787,inweb
4524,5347,PhosphoSP
2908,23215,pina|APID|intact
2783,2932,instruct|APID|biogrid|mint|intact|pina
2908,55827,pina|inweb
1152,2908,encode
2908,10458,encode
2932,5910,signalink
7511,27185,APID|biogrid|HIPPIE|intact|pina
6774,7422,innatedb|inweb
2670,5174,instruct|hiunion|APID|biogrid|HINT-binary|intact|pina
1813,3760,inweb
3831,27185,intact
1813,23545,mint|intact
9575,79365,APID|biogrid
23279,27185,instruct|APID|biogrid|HIPPIE|intact|pina
2908,64089,encode
1213,27185,intact
5159,7422,APID|intact|inweb
1026,2908,encode|innatedb
27185,54986,intact
2908,3303,HIPPIE
2908,6364,encode
2289,5885,encode
2932,2932,interactome3d|PhosphoSP|instruct|qubic|innatedb|HINT-binary|insider
3569,4904,signalink
8850,9575,inweb
2670,27235,APID|intact
2932,79692,PhosphoSP
2587,3350,intact
1499,2908,signalink
2908,9612,APID|biogrid|HIPPIE|litbm17|inweb|pina
2932,11244,instruct|APID|biogrid|KinomeNetX|intact|mint|pina
3358,219738,bioplex
2932,9572,PhosphoSP|KinomeNetX
2908,27063,encode
7678,27185,hiunion
1312,347741,hiunion
2289,140690,APID|intact|instruct
2932,5504,PhosphoSP|signalink|HIPPIE|KinomeNetX|inweb
1813,1815,APID|intact|litbm17|inweb
6678,7422,pina|APID|biogrid|inweb
1874,3569,signalink
2289,26128,HINT-binary
2932,11258,instruct|APID|biogrid|mint|intact|pina
7124,10569,pina|APID|intact
2289,3326,HINT-binary|inweb|HIPPIE
1813,79957,mint|intact
5451,7124,inweb
27185,81846,intact
2908,23426,pina|inweb|HIPPIE|HINT-complex
2932,9343,instruct|APID|biogrid|mint|intact|pina
3553,8502,signalink
2908,54663,encode
27185,29079,intact
2289,283455,instruct|APID|HIPPIE|HINT-binary|intact|litbm17
4133,7846,pina|inweb|HIPPIE|HINT-complex
2932,7249,innatedb|inweb|signalink|HIPPIE
2908,29101,encode
2670,11140,intact|hiunion
996,1312,instruct|hiunion|APID|biogrid|HINT-binary|intact
2932,197131,instruct|APID|biogrid|mint|intact|pina
1312,84065,intact|hiunion
2932,8531,inweb
2908,3397,encode
3356,56899,pina|APID|intact
2908,51499,encode
2308,2932,APID|intact|signalink|HIPPIE
2908,7337,pina
3358,8891,bioplex
2289,10916,instruct|APID|HIPPIE|HINT-binary|intact
1815,10273,inweb
2664,27185,intact
1312,221981,hiunion
382,3356,HINT-complex
3458,5629,innatedb
1312,148534,intact|hiunion
5966,7124,innatedb
4133,4140,inweb
2932,6720,PhosphoSP|inweb|KinomeNetX
5585,27185,hiunion
6695,7124,pina|APID|intact
2624,3569,signalink
351,4747,innatedb|APID|HIPPIE|intact|litbm17|inweb
2908,121504,encode
2908,2932,PhosphoSP|KinomeNetX
4915,6272,APID|intact|inweb
10540,27185,instruct|APID|biogrid|HIPPIE|intact|pina
2624,3356,signalink
3358,9950,bioplex
2908,3872,signalink
2932,5315,PhosphoSP
208,2932,interactome3d|instruct|innatedb|APID|signalink|biogrid|HINT-binary|intact|insider|inweb|pina
3358,9044,bioplex
27185,55929,intact
4915,10818,interactome3d|insider|instruct
421,4915,signalink
7840,27185,intact
1815,1815,instruct|APID|HIPPIE|HINT-binary|intact|mint|litbm17
8661,27185,pina
2670,6646,APID|intact
4582,7124,pina
2289,26277,qubic
3358,9248,bioplex
2932,5366,instruct|APID|biogrid|mint|intact|pina
27185,114784,intact
1021,2289,bioplex
27185,85440,intact
10381,27185,intact
27185,57448,intact
5783,27185,intact
2289,192669,inweb|bioplex|HIPPIE
2908,283459,encode
2932,10625,inweb
6678,27185,intact
27185,56946,hiunion
1670,2932,bioplex
4747,8988,APID|intact|instruct
1786,2932,instruct|APID|biogrid|mint|intact|pina
2908,6820,encode
627,63978,signalink
687,2908,encode
5236,6285,APID|biogrid|HIPPIE|litbm17|inweb
2932,152185,pina
2289,7517,qubic
1107,2932,instruct|APID|biogrid|mint|intact|pina
2908,8367,encode
1312,23428,intact|hiunion
6285,51324,instruct|hiunion|APID|biogrid|HINT-binary|intact
1809,27185,instruct|APID|biogrid|HIPPIE|intact|pina
8449,27185,intact
2625,2908,signalink
1956,4915,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17
1387,2932,signalink
2908,7818,instruct|APID|biogrid|HIPPIE|HINT-binary|litbm17|pina
2908,10814,encode
7422,79056,instruct|APID|biogrid|HINT-binary|intact
25920,27185,intact
27185,53347,hiunion
715,27185,intact
27185,64927,hiunion
1387,3569,innatedb
7109,27185,intact
1813,7466,mint|intact
2932,6176,instruct|APID|biogrid|mint|intact|pina
2932,3265,PhosphoSP
2289,11140,HINT-binary
2915,5580,APID|intact|HIPPIE
1291,27185,intact
2668,2668,interactome3d
1813,9144,mint|intact
3183,27185,hiunion
26230,27185,instruct|APID|biogrid|intact|pina
4133,29970,APID|intact
775,9759,pina|inweb
2908,283551,encode
6285,7409,inweb
2908,29882,encode
2289,65061,instruct|APID|HIPPIE|intact|litbm17|bioplex
1269,1312,hiunion
2908,9584,encode
27185,80204,intact
3458,93436,signalink
2908,10002,pina|APID|biogrid|instruct
2932,11140,HIPPIE
2908,8125,pina|APID|intact
2908,23054,instruct|APID|biogrid|HIPPIE|litbm17|inweb|pina|HINT-complex
27185,203068,instruct|innatedb|APID|biogrid|HIPPIE|intact|pina
3996,6532,qubic
8284,27185,intact
27185,50813,intact
10038,27185,intact
2289,11274,APID|intact|instruct
2908,7879,encode
2288,2908,inweb|HINT-complex
11218,27185,intact
2534,4684,HIPPIE
599,2908,encode
775,5566,PhosphoSP|HIPPIE
2908,84905,encode
3458,57120,bioplex
2932,23678,PhosphoSP|instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb
388,2908,encode
2908,9414,pina|APID|intact
3569,64332,inweb
23380,27185,instruct|APID|biogrid|HIPPIE|intact|pina
2932,5595,PhosphoSP|KinomeNetX
573,2908,inweb|HIPPIE|HINT-complex
4915,63978,signalink
27185,51340,pina|APID|intact|HIPPIE
527,1813,mint|intact
100,2908,inweb|HIPPIE
7124,29110,inweb|HIPPIE|HINT-complex
23332,27185,intact
4684,4684,interactome3d|instruct|APID|HINT-binary|intact|insider|litbm17|mint
6285,10397,inweb|HIPPIE
2289,25862,instruct|APID|HIPPIE|HINT-binary|intact|litbm17|HINT-complex
1312,3846,instruct|hiunion|APID|biogrid|HINT-binary|intact
7124,7186,innatedb|HIPPIE|HINT-binary|inweb|HINT-complex
1813,51107,mint|intact
27185,51520,intact
467,4524,encode
3423,27185,intact
2908,246778,encode
3553,3725,HINT-binary|innatedb
1499,3553,signalink
2908,8431,APID|biogrid
27185,150726,instruct|APID|biogrid|HIPPIE|intact|pina
10565,27185,intact
2908,54205,encode
207,2289,HIPPIE|HINT-complex
2908,84254,encode
2932,6591,PhosphoSP|HIPPIE|KinomeNetX|HINT-binary|inweb
808,1813,instruct|APID|HIPPIE|HINT-binary|HINT-complex
5501,9575,APID|litbm17|biogrid
1813,1902,mint|intact
2932,2997,PhosphoSP|HIPPIE|KinomeNetX|HINT-binary|inweb
2063,2908,inweb
2908,4193,inweb|HIPPIE
2908,10399,pina|APID|biogrid|inweb
2932,22823,instruct|APID|biogrid|mint|intact|pina
23224,27185,intact
2932,3659,PhosphoSP
2670,7316,inweb
367,627,signalink
7124,9825,HIPPIE|HINT-complex
805,1813,HIPPIE
3875,4747,APID|intact|biogrid|hiunion
688,2932,PhosphoSP|HIPPIE|KinomeNetX|HINT-binary|inweb
4000,7124,APID|biogrid
10973,27185,intact
9098,27185,intact
5660,27185,intact
2908,5469,pina|inweb|HIPPIE|HINT-complex
5126,27185,intact
2908,90673,encode
27185,91404,intact
2908,284353,encode
2915,160622,pina
26033,27185,intact
2289,51236,HINT-binary
4915,10048,inweb
7812,27185,intact
1312,345274,intact|hiunion
9921,27185,intact
3569,3572,interactome3d|instruct|innatedb|APID|signalink|HIPPIE|HINT-binary|intact|litbm17|inweb|pina
2908,64426,encode
27185,57727,intact
2908,23192,encode
1827,2932,PhosphoSP|bioplex|HIPPIE|KinomeNetX
2146,7124,innatedb
2932,4193,inweb
2908,124540,encode
2908,254295,encode
2908,3856,encode
2932,6198,PhosphoSP|KinomeNetX
2908,10092,pina|APID|biogrid
1994,7124,innatedb
27185,80267,intact
367,2908,signalink|HIPPIE
6273,6285,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact
2908,145553,encode
2908,27043,HIPPIE
10464,27185,hiunion
5062,27185,intact
6285,6286,instruct|hiunion|qubic|APID|biogrid|HIPPIE|HINT-binary|intact
7187,27185,intact
6605,27185,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|pina
27185,55082,intact
2932,7917,pina|APID|biogrid|instruct
2908,57016,encode
667,27185,instruct|APID|biogrid|intact|pina
3358,27069,mint|intact
2932,7465,PhosphoSP
4133,5576,HIPPIE
2932,3308,inweb|HIPPIE
3358,9144,bioplex
1312,2258,qubic
4747,8898,APID|intact|litbm17|inweb|pina
2908,79902,encode
2662,4524,bioplex
894,2932,PhosphoSP|KinomeNetX
7124,7128,inweb|HIPPIE|HINT-complex
2908,54785,encode
6285,92856,APID|biogrid|instruct|hiunion
3358,23039,bioplex
6096,9575,APID|biogrid
4915,25970,APID|biogrid|HIPPIE
27185,55294,interactome3d
1813,5074,APID|litbm17|biogrid|inweb
1312,9516,HINT-binary|APID|intact|instruct
3569,5744,HIPPIE
11215,27185,intact
2908,375748,encode
3553,5910,signalink
2908,55269,encode
7124,10454,inweb|HIPPIE|HINT-complex
1813,84336,mint|intact
27185,55737,intact
2908,440567,encode
2932,10248,KinomeNetX
9775,27185,hiunion
2908,9721,encode
4747,7249,innatedb
2710,7124,bioplex|HIPPIE
2908,5187,encode
2932,3320,inweb|HIPPIE
2932,6195,PhosphoSP|KinomeNetX
2683,7124,bioplex|HIPPIE
2932,23528,PhosphoSP
7422,7422,interactome3d|instruct|APID|biogrid|HINT-binary|intact|insider|litbm17|HINT-complex
2908,59344,encode
2908,51380,encode
2908,7247,encode
808,2915,HIPPIE
8028,27185,instruct|APID|biogrid|intact|pina
2908,30827,encode
6731,27185,intact
2932,5728,PhosphoSP|KinomeNetX
2908,27113,encode
861,3458,inweb
9203,27185,intact
2908,57158,encode
27185,65250,intact
1956,2908,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17
10443,27185,intact
1778,27185,instruct|APID|biogrid|HIPPIE|intact|pina
3553,199713,innatedb
896,2932,PhosphoSP|KinomeNetX
9575,9901,bioplex|HIPPIE
1876,2908,encode
1994,7422,inweb|HIPPIE
2908,5411,encode
2908,79711,encode
2289,149420,bioplex
7204,27185,instruct|APID|biogrid|HIPPIE|intact|inweb|pina
22843,27185,instruct|APID|biogrid|HIPPIE|intact|pina
2932,9704,instruct|APID|biogrid|mint|intact|pina
2687,2908,encode
4915,55156,signalink
2670,26240,instruct|hiunion|APID|biogrid|HINT-binary|intact
1385,7422,inweb
23582,27185,intact
2908,283130,encode
2908,51244,encode
11127,27185,APID|biogrid|HIPPIE|intact|pina
4684,6009,instruct|APID|biogrid|HINT-binary|intact|pina
27185,130540,hiunion
2908,100131496,encode
1630,27185,intact
6532,10075,qubic
2908,389649,encode
4193,6285,mint|APID|intact|litbm17
3358,54733,bioplex
9757,27185,intact
1312,6598,encode
2908,5409,encode
2932,5567,qubic|KinomeNetX
27185,54535,hiunion
2670,390792,intact|hiunion
9702,27185,hiunion
1312,9319,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|pina
22911,27185,intact
1813,5978,encode
7918,27185,hiunion
4747,27185,intact
5885,7422,encode
3839,27185,intact
2670,6095,instruct|hiunion|APID|biogrid|HINT-binary|intact
2908,6844,encode
815,6532,PhosphoSP
2289,8471,HINT-binary
2289,27101,HINT-binary
3569,4790,innatedb
2041,4524,bioplex
6285,541465,APID|instruct
2908,112398,encode
1832,2932,PhosphoSP
2932,51559,qubic
1813,7417,intact
27185,84902,intact
3797,27185,instruct|APID|biogrid|HIPPIE|intact|pina
53,7124,bioplex|HIPPIE
9889,27185,intact
2908,171023,encode|APID|intact|inweb|pina
2114,2908,inweb|HIPPIE
2908,6205,encode
3316,7124,inweb
6285,57146,APID|intact|biogrid|hiunion
10425,27185,instruct|APID|biogrid|HIPPIE|intact|pina
1813,2771,signalink
2908,50943,signalink
2908,7110,pina|APID|intact|litbm17
3458,50943,signalink
7123,27185,intact
2908,23371,encode
2030,3358,mint|intact
1215,3553,inweb
8404,27185,instruct|APID|biogrid|intact|pina
2932,374897,qubic
2908,8294,encode
4644,27185,intact
1312,7518,encode
9961,27185,APID|biogrid|instruct
2744,7124,bioplex|HIPPIE
3458,8502,signalink
27185,100499483,intact
2908,8839,encode
2908,140597,pina|APID|intact
2622,27185,hiunion
421,3458,signalink
2932,4354,instruct|APID|biogrid|mint|intact|pina
22832,27185,intact
6602,27185,hiunion
330,7124,inweb
2908,4110,inweb
2289,9212,HINT-binary
1312,51548,encode
2908,8000,encode
1813,5578,PhosphoSP
2908,54541,encode
1815,7316,inweb
7124,8829,bioplex|HIPPIE
27185,51375,intact
4747,285753,APID|intact|biogrid|hiunion
10579,27185,intact
2289,25980,APID|intact|instruct
2908,57223,encode
2670,53347,intact|hiunion
5970,7124,HINT-binary|innatedb|inweb
1020,2908,PhosphoSP|KinomeNetX
7124,22933,interactome3d|instruct
3551,7124,inweb|HIPPIE|HINT-complex
5156,7422,APID|intact|inweb
3508,27185,intact
1500,3553,signalink
2237,2932,instruct|APID|signalink|biogrid|mint|intact|pina
3358,55890,bioplex
2932,3309,HIPPIE
2908,727758,encode
3841,4915,signalink
2627,2932,PhosphoSP
3356,10573,pina|APID|intact
2908,5452,inweb|HIPPIE|HINT-complex
2932,4077,inweb|HIPPIE|HINT-complex
4915,5770,innatedb|HIPPIE
27185,64795,intact
3553,7850,HINT-binary|innatedb|interactome3d|instruct
8907,27185,hiunion
6908,7124,innatedb
633,7124,innatedb|inweb
2534,4133,inweb|PhosphoSP|HIPPIE|KinomeNetX
1958,3553,APID|biogrid|inweb
4747,23239,instruct|APID|HIPPIE|mint|intact|pina
409,1815,inweb|HIPPIE|HINT-complex
2863,3350,intact
4915,5436,instruct|APID|biogrid|HINT-binary|intact|pina
2670,3312,bioplex
1501,2908,signalink
2908,54623,encode
2908,3576,innatedb
905,7422,encode
1312,9610,qubic
24144,27185,APID|biogrid|HIPPIE|intact|pina
2670,170954,intact
9605,27185,intact
808,7124,APID|HIPPIE
2932,7319,KinomeNetX
1390,3458,innatedb
27185,54785,bioplex|HIPPIE|hiunion
2752,27185,intact
3358,643853,bioplex
9618,27185,hiunion
27185,51265,hiunion
1312,51522,intact|hiunion
2932,6615,PhosphoSP|HIPPIE|KinomeNetX|HINT-binary|inweb|HINT-complex
867,3356,inweb
10808,27185,intact
9881,27185,intact
4747,9919,bioplex
2289,3551,innatedb
2908,3586,inweb
2794,27185,intact
1312,6872,encode
4747,7431,instruct|APID|biogrid|HIPPIE|intact|litbm17|bioplex
3553,7369,innatedb
1387,7124,innatedb
27185,51130,intact|bioplex
3553,8517,inweb
1674,2670,intact|bioplex|hiunion
27185,53407,APID|biogrid|HIPPIE|intact|pina
5170,27185,intact
7124,285141,pina|APID|intact
2908,6597,HINT-binary|inweb|HIPPIE|HINT-complex
2475,2932,instruct|APID|signalink|biogrid|mint|intact|pina
3569,6772,innatedb
2908,10935,APID|biogrid
2908,414157,encode
2867,7124,intact|hiunion
2033,2908,inweb|HIPPIE|HINT-complex
27185,28964,intact
2040,2908,encode
4747,5585,hiunion|APID|biogrid|HIPPIE|litbm17|inweb|pina
2932,66008,bioplex|HIPPIE|HINT-complex
