proteinA_entrezid,proteinB_entrezid,databases
9575,9575,APID|intact
1401,3569,innatedb
775,801,biogrid
7531,27185,instruct|APID|biogrid|HIPPIE|intact|pina
7337,27185,intact
153,1815,APID|intact
351,2932,KinomeNetX|inweb|HIPPIE|HINT-complex
6285,100288797,APID|biogrid|hiunion
3553,338322,innatedb
27185,143884,hiunion
2908,5885,encode
2932,5582,PhosphoSP|KinomeNetX
4128,5708,instruct
2908,10419,encode
2908,158399,pina|APID|intact
7422,51006,hiunion
3358,201158,bioplex
2064,2289,APID|intact|instruct
2932,28969,instruct|APID|biogrid|mint|intact|pina
2932,4791,PhosphoSP|KinomeNetX
1312,55290,encode
2932,6601,KinomeNetX
2908,7417,encode
1366,7124,intact|hiunion
2908,285847,encode
7124,51177,intact|hiunion
3358,57142,mint|intact|bioplex|HIPPIE
2289,55124,APID|intact|instruct
2908,79842,pina|APID|biogrid|instruct
2908,51082,instruct|APID|biogrid|HINT-binary|intact
20,1813,mint|intact
10458,27185,intact
993,2932,PhosphoSP|KinomeNetX
2908,5530,pina|APID|intact
4747,55755,HINT-binary|APID|intact|instruct
1312,9341,intact|hiunion
2670,5578,HIPPIE
4524,57717,bioplex
4684,26747,bioplex|HIPPIE
23357,27185,intact
7124,27161,innatedb|inweb|HIPPIE|HINT-complex
329,2670,instruct|hiunion|innatedb|APID|biogrid|HINT-binary|intact
22981,27185,intact
1956,4684,inweb
2932,4086,PhosphoSP|APID|HIPPIE|KinomeNetX|intact|litbm17|inweb
2289,143689,APID|intact|instruct
2908,54443,qubic
2932,9185,qubic
2534,4915,inweb|HIPPIE
2908,64073,encode
3358,346689,bioplex
2932,5594,PhosphoSP|inweb|KinomeNetX
2908,4312,innatedb
2289,9328,APID|intact|instruct
3553,93436,signalink
10989,27185,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb|pina
3358,27173,mint|intact|bioplex|HIPPIE
5155,7422,APID|intact|inweb
2932,51366,inweb
8658,27185,instruct|APID|biogrid|HIPPIE|intact|pina
2908,219681,signalink
1499,3458,signalink
2908,51078,encode
8831,27185,intact
